Identifier,LAKE,TOWN,Noted.Location,Dominant.Taxa,Total.Cell.Concentration,Date.Advisory.Issued,Date.Advisory.Removed,Advisory.Days,AUID,Notification.Type
Silver.Hollis,Silver Lake,Hollis,,Microcystis,"1,086,817",7/29/2014,8/8/2014,10,NHLAK700061001-02-01,Warning
Phillips.Sandown,Phillips Pond,Sandown,,Microcystis,"1,900,000",8/1/2014,8/8/2014,7,NHLAK600030802-03-01,Warning
Otternick.Hudson,Otternick Pond,Hudson,,Anabaena,"865,000",8/1/2014,8/22/2014,21,NHLAK700061206-02,Warning
Gorham.Dunbarton,Gorham Pond,Dunbarton,,Microcystis,">70,000",8/4/2014,8/6/2014,2,NHLAK700060603-01,Warning
Long.Pelham,Long Pond,Pelham,,Anabaena,">70,000",8/5/2014,8/8/2014,3,NHLAK700061205-02-01,Warning
Long.Henniker,Long Pond,Henniker,,Oscillatoria,"936,491",8/6/2014,8/8/2014,2,NHLAK700030502-01,Warning
Silver.Hollis,Silver Lake,Hollis,,Microcystis,">70,000",8/11/2014,8/22/2014,11,NHLAK700061001-02-01,Warning
Long.Pelham,Long Pond,Pelham,,Anabaena,">70,000",8/11/2014,8/12/2014,1,NHLAK700061205-02-01,Warning
Showell.Sandown,Showell Pond,Sandown,,Anabaena,">70,000",8/12/2014,9/25/2014,44,NHLAK600030802-04,Warning
Horace.Weare,Horace Lake,Weare,,Anabaena,"207,206",8/20/2014,8/22/2014,2,NHLAK700060601-05-01,Warning
Horace.Weare,Horace Lake,Weare,,Anabaena,">70,000",8/26/2014,8/29/2014,3,NHLAK700060601-05-01,Warning
Silver.Hollis,Silver Lake,Hollis,,Microcystis,"1,200,000",8/26/2014,9/10/2014,15,NHLAK700061001-02-01,Warning
Dublin.Dublin,Dublin Lake,Dublin,,Anabaena,"120,000",8/26/2014,8/27/2014,1,NHLAK802010202-05,Warning
Hunkins.Sanbornton,Hunkins Pond,Sanbornton,,Anabaena,"102,000",9/5/2014,9/30/2014,25,NHLAK700020201-02,Warning
Mirror.Tuftonboro,Mirror Lake,"Tuftonboro, Wolfeboro",,unidentified,">70,000",9/27/2014,9/30/2014,3,NHLAK700020106-02-01,Warning
TowerHill.Auburn,Tower Hill Pond,Auburn,,Anabaena,"25,000,000",9/30/2014,10/22/2014,22,NHLAK700060701-04,Warning
Monomonac.Rindge,"Monomonac, Lake",Rindge,,Microcysits,"507,858",6/8/2015,6/16/2015,8,NHLAK802020103-06,Warning
Silver.Hollis,Silver Lake,Hollis,,Anabaena,">70,000",6/23/2015,6/26/2015,3,NHLAK700061001-02-01,Warning
French.Henniker,French Pond,Henniker,,Anabaena,"120,000",7/6/2015,7/13/2015,7,NHLAK700030504-02-01,Warning
Silver.Hollis,Silver Lake,Hollis,,Anabaena,"1,000,000",7/20/2015,7/23/2015,3,NHLAK700061001-02-01,Warning
OtterBrook.Keene,Otter Brook Lake,Keene,,Anabaena,"500,000",7/20/2015,7/28/2015,8,NHLAK802010201-06-01,Warning
Nippo.Barrington,Nippo Pond,Barrington,,Picocyanobacteria,"170,000",8/3/2015,8/26/2015,23,NHLAK600030605-01,Warning
Sondogardy.Northfield,Sondogardy Pond,Northfield,,Oscillatoria,"2,000,000",8/4/2015,8/10/2015,6,NHLAK700060101-02-01,Warning
Darrah.Litchfield,Darrah Pond,Litchfield,,Oscillatoria,"3,000,000",8/4/2015,8/27/2015,23,NHLAK700061002-01-01,Warning
Norway.Hancock,Norway Pond,Hancock,,Oscillatoria,">70,000",8/12/2015,8/17/2015,5,NHLAK700030107-02-01,Warning
Downing.NewDurham,Downing Pond,New Durham,,Anabaena,"4,100,000",8/13/2015,9/2/2015,20,NHLAK700020102-02,Warning
Robinson.Hudson,Robinson Pond,Hudson,,Oscillatoria,"300,000",8/17/2015,8/25/2015,8,NHLAK700061203-06-01,Warning
French.Henniker,French Pond,Henniker,,Anabaena,"150,000",8/20/2015,9/10/2015,21,NHLAK700030504-02-01,Warning
Keyser.Henniker,Keyser Pond,Henniker,,Anabaena,"5,000,000",8/21/2015,9/3/2015,13,NHLAK700030504-03,Warning
Otternick.Hudson,Otternick Pond,Hudson,,Anabaena,"237,677",8/26/2015,9/11/2015,16,NHLAK700061206-02,Warning
Silver.Hollis,Silver Lake,Hollis,,Microcystis,">70,000",9/1/2015,9/4/2015,3,NHLAK700061001-02-01,Warning
Sunrise.Middleton,Sunrise Lake,Middleton,,Anabaena,"2,500,000",5/27/2016,6/2/2016,6,NHLAK600030601-05-01,Warning
Townhouse.Milton,Townhouse Pond,Milton,,Anabaena,"150,000",6/16/2016,6/23/2016,7,NHLAK600030404-01-02,Warning
OtterBrook.Keene,Otter Brook Lake,Keene,,unidentified,"103,600",6/22/2016,7/6/2016,14,NHLAK802010201-06-01,Warning
Downing.NewDurham,Downing Pond,New Durham,,Anabaena,"120,000",6/30/2016,7/29/2016,29,NHLAK700020102-02,Warning
French.Henniker,French Pond,Henniker,,Anabaena,"1,900,000",7/1/2016,7/8/2016,7,NHLAK700030504-02-01,Warning
Silver.Hollis,Silver Lake,Hollis,,Microcystis,"33,000",7/11/2016,7/18/2016,7,NHLAK700061001-02-01,Warning
Greenwood.Kingston,Greenwood Pond,Kingston,,Oscillatoria,">70,000",7/14/2016,7/22/2016,8,NHLAK700061403-07,Warning
Elm.Hopkinton,Elm Brook,Hopkinton,,unidentified,"832,887",7/21/2016,8/8/2016,18,NHIMP700030503-01-01,Warning
Silver.Hollis,Silver Lake,Hollis,,Microcystis,">70,000",7/27/2016,7/30/2016,3,NHLAK700061001-02-01,Warning
Darrah.Litchfield,Darrah Pond,Litchfield,,Phormidium,"1,000,000",7/28/2016,8/22/2016,25,NHLAK700061002-01-01,Warning
Nippo.Barrington,Nippo Pond,Barrington,,Picocyanobacteria,">70,000",7/29/2016,8/12/2016,14,NHLAK600030605-01,Warning
Sebbins.Bedford,Sebbins Pond,Bedford,,Microcystis,"370,000",8/1/2016,8/4/2016,3,NHLAK700060804-02,Warning
Norway.Hancock,Norway Pond,Hancock,,Merismopedia,">70,000",8/2/2016,8/8/2016,6,NHLAK700030107-02-01,Warning
LittleIsland.Pelham,Little Island Pond,Pelham,,Anabaena,"542,392",8/5/2016,8/10/2016,5,NHLAK700061204-02,Warning
Pawtuckaway.Nottingham,Pawtuckaway Lake,Nottingham,,unidentified,"3,615,950",8/11/2016,8/23/2016,12,NHLAK600030704-02-01,Warning
Showell.Sandown,Showell Pond,Sandown,,Anabaena,">70,000",8/11/2016,8/25/2016,14,NHLAK600030802-04,Warning
Todd.Newbury,"Todd, Lake",Newbury,,Oscillatoria,"2,031,432",8/15/2016,12/1/2016,108,NHLAK700030301-02,Warning
Elm.Hopkinton,Elm Brook,Hopkinton,,Anabaena,">70,000",8/26/2016,9/5/2016,10,NHIMP700030503-01-01,Warning
Hothole.Loudon,Hothole Pond,Loudon,,Anabaena,"72,000",8/30/2016,10/6/2016,37,NHLAK700060302-05,Warning
Sebbins.Bedford,Sebbins Pond,Bedford,,Microcystis,">70,000",9/1/2016,12/1/2016,91,NHLAK700060804-02,Warning
Showell.Sandown,Showell Pond,Sandown,,Anabaena,">70,000",9/2/2016,10/7/2016,35,NHLAK600030802-04,Warning
Goose.Canaan,Goose Pond,"Canaan, Hanover",,Anabaena/Dolichospermum,"134,000",6/8/2017,6/13/2017,5,NHLAK801060103-01,Warning
